angle	SFsq	LP	TF	A	P	Pstar	S
0.932	153.7494211448195	30232.211148247203	0.9998685294370121	1.0	4647573.864476882	-4.46762500988005E-4	1.0
0.947	153.72816289601286	29281.996971887107	0.9998642638837114	1.0	4500856.588685137	-4.467195531129897E-4	1.0
0.962	153.70657309483724	28375.88402844347	0.9998599302517317	1.0	4360948.969952364	-4.466759068478146E-4	1.0
0.977	153.68465211013904	27511.18485224155	0.9998555285422555	1.0	4227436.041059293	-4.466315615909559E-4	1.0
0.991	153.66389405340186	26739.30102460135	0.9998513588601066	1.0	4108254.3733113003	-4.4658954149996705E-4	1.0
1.006	153.641333846696	25947.782102274898	0.9998468255375587	1.0	3986041.1993024847	-4.465438431187835E-4	1.0
1.021	153.6184435698038	25190.892027821512	0.9998422241410897	1.0	3869175.066698065	-4.4649744392753814E-4	1.0
1.036	153.59522361292002	24466.639860493964	0.9998375546719549	1.0	3757348.557543499	-4.464503432879677E-4	1.0
1.051	153.57167437162684	23773.175712931217	0.9998328171314284	1.0	3650276.0337046655	-4.464025405524811E-4	1.0
1.065	153.54939834567253	23152.20045191748	0.9998283340125546	1.0	3554396.176077762	-4.4635729064011455E-4	1.0
1.08	153.5252136295018	22513.485509970888	0.9998234648710188	1.0	3455777.4986194065	-4.463081286482541E-4	1.0
1.095	153.50070082021608	21900.838923938638	0.9998185276619352	1.0	3361184.050735587	-4.46258262607114E-4	1.0
1.11	153.47586033442423	21312.861158535743	0.9998135223866511	1.0	3270399.732411844	-4.462076918324639E-4	1.0
1.125	153.4506925940382	20748.24535452348	0.9998084490465319	1.0	3183222.753588665	-4.4615641563077195E-4	1.0
1.14	153.42519802625517	20205.7700607541	0.9998033076429617	1.0	3099464.5119284564	-4.4610443329920984E-4	1.0
1.154	153.40110860681543	19718.426340284946	0.9997984475925086	1.0	3024218.7991230623	-4.460552787422828E-4	1.0
1.169	153.37498340364044	19215.580254247143	0.9997931746035934	1.0	2946579.748990684	-4.460019291988622E-4	1.0
1.184	153.3485326565001	18731.724395572575	0.9997878335553945	1.0	2871873.005798373	-4.4594787141036745E-4	1.0
1.199	153.32175681320498	18265.914430754074	0.9997824244493688	1.0	2799952.756484009	-4.458931046374608E-4	1.0
1.214	153.29465632676028	17817.264003773613	0.9997769472869921	1.0	2730682.140193292	-4.458376281315368E-4	1.0
1.228	153.2690700432674	17413.270081174538	0.9997717738681393	1.0	2668306.595444717	-4.457852090540071E-4	1.0
1.243	153.24134321714828	16995.47794920283	0.9997661651344039	1.0	2603800.8677214617	-4.45728358240443E-4	1.0
1.258	153.21329310648375	16592.541407931632	0.999760488348753	1.0	2541589.0240956494	-4.4567079544454477E-4	1.0
1.273	153.18492018452642	16203.764414215499	0.9997547435127354	1.0	2481563.5896070446	-4.4561251988131266E-4	1.0
1.288	153.15622492962908	15828.491217947883	0.9997489306279183	1.0	2423623.310876387	-4.4555353075650944E-4	1.0
1.302	153.12915230217973	15489.873758619315	0.9997434438750152	1.0	2371342.699306899	-4.4549782974025756E-4	1.0
1.317	153.09983524552723	15138.985787567382	0.9997374994336986	1.0	2317167.8122880463	-4.454374587766661E-4	1.0
1.332	153.07019728833112	14799.885265505247	0.9997314869482866	1.0	2264813.0622334513	-4.4537637186851107E-4	1.0
1.347	153.04023892880662	14472.05007358955	0.9997254064204195	1.0	2214197.8295438928	-4.453145681852832E-4	1.0
1.362	153.0099606701691	14154.986684797244	0.999719257851756	1.0	2165245.909435224	-4.452520468872676E-4	1.0
